| Module ID | Module Name | Layer | Depends On (Upstream) | Depended By (Downstream) | External Dependencies | Data Entities Consumed | Data Entities Produced |
|:---|:---|:---|:---|:---|:---|:---|:---|
| MOD-01 | AI Diagnostics & OBD-II Telemetry Engine | Core Platform | MOD-04, MOD-07, MOD-16 | MOD-03, MOD-13, MOD-14, MOD-19, MOD-26 | OEM OTA Feeds | `LiveDataReadings`, `CanFrameLogs`, `DiagnosticSessions`, `DiagnosticCodeStatistics` | `DiagnosticSessions`, `VehicleTroubleCodes`, `VehicleDataPatterns`, `anomaly_scores` |
| MOD-02 | Unified Shop OS (CRM, Estimates, Payments) | Core Platform | MOD-04, MOD-12, MOD-17, MOD-18 | MOD-13, MOD-15, MOD-19, MOD-20, MOD-23, MOD-24, MOD-25 | Payment Gateways | `Vehicles`, `Customers`, `enterprise.vendor_products`, `parts_used`, `labor_hours` | `RepairOrders`, `Estimates`, `VehicleMaintenanceRecords`, `payments`, `invoices` |
| MOD-03 | EV Battery & Charging Analytics | Core Platform | MOD-01, MOD-07 | MOD-13, MOD-19 | — | `EVBatterySystems`, `EVChargingHistory`, `RealTimeVehicleStatus` | `EVBatterySystems` (enriched), `battery_health_scores`, `degradation_trends` |
| MOD-04 | Zero-Trust RBAC & Audit Framework | Core Platform | MOD-06 | MOD-01, MOD-02, MOD-03, MOD-11, MOD-12, MOD-13, MOD-14, MOD-15, MOD-16, MOD-17, MOD-18, MOD-19, MOD-20, MOD-21, MOD-22, MOD-23, MOD-24, MOD-25, MOD-26 | — | `UserRoles`, `UserPermissions`, `api_keys`, `privacy.data_classification_categories` | `audit.audit_log`, `audit.audit_access_log`, `audit.hash_chain` |
| MOD-05 | Data Dictionary, Metadata & Ontology | Data Foundation | — | MOD-07, MOD-08, MOD-10, MOD-13, MOD-19 | — | `data_lineage.dl_entities`, `data_lineage.dl_business_glossary` | `data_lineage.dl_business_glossary`, `data_lineage.dl_entities`, `metadata_catalog` |
| MOD-06 | Data Lifecycle & Privacy Management | Data Foundation | MOD-05 | MOD-04, MOD-08, MOD-09 | — | `privacy.data_classification_categories`, `consent_dependencies`, `privacy.retention_policies` | `privacy.retention_policies`, `privacy.consent_records`, `privacy.data_transfers` |
| MOD-07 | Data Ingestion & Pipeline Framework | Data Foundation | MOD-05, MOD-17 | MOD-01, MOD-03, MOD-08, MOD-09, MOD-10, MOD-19, MOD-21, MOD-22, MOD-23, MOD-26 | Parts Catalog APIs, MOT APIs, Accident DBs, Market Data APIs, Weather APIs, VIN Decoders | Raw telemetry, API responses, `pipeline_jobs` | `pipeline_jobs`, `outbound_events`, `staging_data`, `raw_telemetry` |
| MOD-08 | Data Quality Validation & Scoring | Data Foundation | MOD-05, MOD-06, MOD-07, MOD-09 | MOD-10, MOD-13, MOD-14, MOD-19 | — | `data_quality.dq_rules`, raw/staged data | `data_quality.dq_quality_scores`, `data_quality.dq_metric_alerts`, `validation_results` |
| MOD-09 | Automated Data Cleansing & Approval Queue | Data Foundation | MOD-06, MOD-07 | MOD-08, MOD-10 | — | `data_quality.dq_cleansing_methods`, `dq_cleansing_approval_queue` | `data_quality.dq_data_backups`, `cleansed_data`, `cleansing_audit_log` |
| MOD-10 | Data Observability & Lineage Tracking | Data Foundation | MOD-05, MOD-07, MOD-08, MOD-09 | MOD-13, MOD-14, MOD-17 | — | `pipeline_jobs`, `service_heartbeats`, `data_lineage.dl_entities` | `data_lineage.v_upstream_lineage`, `data_lineage.v_downstream_lineage`, `data_lineage.dl_quality_impact` |
| MOD-11 | Vendor, Contract & SLA Management | Core Platform | MOD-04, MOD-17 | MOD-12, MOD-14 | — | `enterprise.vendors`, `enterprise.vendor_contracts`, `enterprise.vendor_performance_metrics` | `enterprise.vendor_contracts`, `enterprise.vendor_performance_metrics`, `SLA_breach_alerts` |
| MOD-12 | Warehouse, Inventory & Procurement OS | Core Platform | MOD-04, MOD-11, MOD-17 | MOD-02, MOD-13, MOD-14 | Parts Catalog APIs | `enterprise.warehouses`, `enterprise.inventory_locations`, `enterprise.purchase_orders` | `enterprise.purchase_orders`, `enterprise.shipments`, `stock_levels`, `supply_chain_events` |
| MOD-13 | Analytics Platform & BI Dashboards | Core Platform | MOD-01, MOD-02, MOD-03, MOD-04, MOD-08, MOD-10, MOD-12, MOD-15, MOD-17 | MOD-14, MOD-23 | — | All data entities (read-only) | `v_quality_score_dashboard`, `v_kpi_dashboard`, `v_system_health_dashboard`, BI reports |
| MOD-14 | KPI Metrics & Success Framework | Core Platform | MOD-01, MOD-04, MOD-08, MOD-10, MOD-11, MOD-12, MOD-13, MOD-16, MOD-17 | MOD-18 | — | `enterprise.kpi_definitions`, `enterprise.kpi_alert_thresholds`, all module outputs | `enterprise.kpi_forecasts`, `enterprise.kpi_breach_assignments`, `ai_predictions`, KPI alerts |
| MOD-15 | Visitor & Customer Journey Analytics | Core Platform | MOD-02, MOD-04, MOD-17 | MOD-13, MOD-25 | — | `VisitorAnalytics`, `portal_engagement`, `estimate_approval_behaviors` | `customer_journey_metrics`, `funnel_analytics`, `retention_scores` |
